Problem,Performance,Model,Time
General,0.711,L2-Logistic,Two Year
General,0.711,L1-Logistic,Two Year
General,0.709,LinearSVM,Two Year
General,0.723,RF,Two Year
General,0.727,XGBoost,Two Year
Violent,0.809,L2-Logistic,Two Year
Violent,0.809,L1-Logistic,Two Year
Violent,0.808,LinearSVM,Two Year
Violent,0.815,RF,Two Year
Violent,0.82,XGBoost,Two Year
Drug,0.675,L2-Logistic,Two Year
Drug,0.675,L1-Logistic,Two Year
Drug,0.676,LinearSVM,Two Year
Drug,0.685,RF,Two Year
Drug,0.695,XGBoost,Two Year
Property,0.759,L2-Logistic,Two Year
Property,0.76,L1-Logistic,Two Year
Property,0.761,LinearSVM,Two Year
Property,0.764,RF,Two Year
Property,0.78,XGBoost,Two Year
Felony,0.708,L2-Logistic,Two Year
Felony,0.708,L1-Logistic,Two Year
Felony,0.708,LinearSVM,Two Year
Felony,0.727,RF,Two Year
Felony,0.734,XGBoost,Two Year
Misdemeanor,0.683,L2-Logistic,Two Year
Misdemeanor,0.683,L1-Logistic,Two Year
Misdemeanor,0.682,LinearSVM,Two Year
Misdemeanor,0.695,RF,Two Year
Misdemeanor,0.702,XGBoost,Two Year
General,0.732,L2-Logistic,Six Month
General,0.732,L1-Logistic,Six Month
General,0.733,LinearSVM,Six Month
General,0.744,RF,Six Month
General,0.753,XGBoost,Six Month
Violent,0.866,L2-Logistic,Six Month
Violent,0.866,L1-Logistic,Six Month
Violent,0.867,LinearSVM,Six Month
Violent,0.872,RF,Six Month
Violent,0.877,XGBoost,Six Month
Drug,0.747,L2-Logistic,Six Month
Drug,0.748,L1-Logistic,Six Month
Drug,0.748,LinearSVM,Six Month
Drug,0.756,RF,Six Month
Drug,0.769,XGBoost,Six Month
Property,0.835,L2-Logistic,Six Month
Property,0.836,L1-Logistic,Six Month
Property,0.828,LinearSVM,Six Month
Property,0.841,RF,Six Month
Property,0.854,XGBoost,Six Month
Felony,0.753,L2-Logistic,Six Month
Felony,0.754,L1-Logistic,Six Month
Felony,0.751,LinearSVM,Six Month
Felony,0.775,RF,Six Month
Felony,0.786,XGBoost,Six Month
Misdemeanor,0.719,L2-Logistic,Six Month
Misdemeanor,0.719,L1-Logistic,Six Month
Misdemeanor,0.722,LinearSVM,Six Month
Misdemeanor,0.728,RF,Six Month
Misdemeanor,0.742,XGBoost,Six Month
